Reaction_ID	Reaction_Names	Confidence_Score	References	Notes
R4064	(S)-Hydroxydecanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.211 EC:1.1.1.35	0	"PMID:10231530,PMID:10329704,PMID:1550553,PMID:1651711,PMID:7150615,PMID:8188243,PMID:8687463,PMID:9553139"	
R4065	(S)-Hydroxydecanoyl-CoA hydro-lyase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:4.2.1.17	0	"PMID:8012501,PMID:8188243"	
R4066	(S)-Hydroxydecanoyl-CoA hydro-lyase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:4.2.1.17	0	"PMID:8012501,PMID:8188243"	
R4067	(S)-Hydroxyoctanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.211	0	"PMID:10231530,PMID:10329704,PMID:1550553,PMID:1651711,PMID:7150615,PMID:8188243,PMID:8687463,PMID:9553139"	
R4068	(S)-Hydroxyoctanoyl-CoA hydro-lyase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:4.2.1.17	0	"PMID:8012501,PMID:8188243"	
R4070	(S)-Hydroxyhexanoyl-CoA:NAD+ oxidoreductase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:1.1.1.211 EC:1.1.1.35	0	"PMID:10231530,PMID:10329704,PMID:1550553,PMID:1651711,PMID:7150615,PMID:8188243,PMID:8687463,PMID:9553139"	
R4071	(S)-Hydroxyhexanoyl-CoA hydro-lyase Fatty acid elongation in mitochondria / Fatty acid metabolism EC:4.2.1.17	0	"PMID:8012501,PMID:8188243"	
R4076	hydroxysteroid (17-beta) dehydrogenase 4  Bile acid biosynthesis EC:1.1.1.35	0	PMID:11330072	
R4077	"(24R,25R)-3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl- CoA hydro-lyase Bile acid biosynthesis EC:4.2.1.107"	0	PMID:11330072	
R4080	"3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase Tyrosine metabolism EC:1.2.1.5"	0	"PMID:10424772,PMID:11958479,PMID:3466164"	
R4081	"3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase Tyrosine metabolism EC:1.2.1.5"	0	"PMID:11790142,PMID:12604221"	
R4082	3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase Tyrosine metabolism EC:1.2.1.5	0	"PMID:17379813,PMID:18621017"	
R4083	3-Methoxy-4-hydroxyphenylacetaldehyde:NADP+ oxidoreductase Tyrosine metabolism EC:1.2.1.5	0	PMID:1898068	
R4084	3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase Tyrosine metabolism EC:1.2.1.5	0	"PMID:17379813,PMID:18621017"	
R4085	3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase Tyrosine metabolism EC:1.2.1.5	0	"PMID:17379813,PMID:18621017"	
R4087	butyryl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) Fatty acid biosynthesis EC:2.3.1.85	0	"PMID:11750882,PMID:4452359,PMID:6137188,PMID:7567999,PMID:7834997,PMID:8962082"	
R4088	(3R)-3-Hydroxyhexanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase Fatty acid biosynthesis EC:2.3.1.85	0	"PMID:11750882,PMID:4452359,PMID:6137188,PMID:7567999,PMID:7834997,PMID:8962082"	
R4089	(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase Fatty acid biosynthesis EC:2.3.1.85	0	PMID:7567999	
R4090	Hexanoyl-[acyl-carrier protein]:oxoacyl- and enoyl-reducing and thioester-hydrolysing) Fatty acid biosynthesis EC:2.3.1.85	0	PMID:7567999	
R4091	hexanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) Fatty acid biosynthesis EC:2.3.1.85	0	"PMID:11750882,PMID:4452359,PMID:6137188,PMID:7567999,PMID:7834997,PMID:8962082"	
R4092	"Octanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing and thioester-hydrolysing) Fatty acid biosynthesis EC:2.3.1.85"	0	PMID:7567999	
R4093	Octanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) Fatty acid biosynthesis EC:2.3.1.85	0	"PMID:11750882,PMID:4452359,PMID:6137188,PMID:7567999,PMID:7834997,PMID:8962082"	
R4094	"Decanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing and thioester-hydrolysing) Fatty acid biosynthesis EC:2.3.1.85"	0	PMID:7567999	
R4095	Decanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) Fatty acid biosynthesis EC:2.3.1.85	0	"PMID:11750882,PMID:4452359,PMID:6137188,PMID:7567999,PMID:7834997,PMID:8962082"	
R4096	(3R)-3-Hydroxydodecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase Fatty acid biosynthesis EC:2.3.1.85	0	"PMID:11750882,PMID:4452359,PMID:6137188,PMID:7567999,PMID:7834997,PMID:8962082"	
R4097	(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase Fatty acid biosynthesis EC:2.3.1.85	0	PMID:7567999	
R4098	"Tetradecanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing and thioester-hydrolysing) Fatty acid biosynthesis EC:2.3.1.85"	0	PMID:7567999	
R4099	Tetradecanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) Fatty acid biosynthesis EC:2.3.1.85	0	"PMID:11750882,PMID:4452359,PMID:6137188,PMID:7567999,PMID:7834997,PMID:8962082"	
R4100	"Hexadecanoyl-[acyl-carrier protein:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing and thioester-hydrolysing) Fatty acid biosynthesis EC:2.3.1.85"	0	PMID:7567999	
R4103	r0776	0	PMID:10727395	
R4105	r0778	0	PMID:10727395	
R4135	Mitochondrial Carrier (MC) TCDB:2.A.29.2.2	0	"PMID:10585886,PMID:14598172,PMID:17173541,PMID:18406340,PMID:4424886,PMID:4441366,PMID:5099217,PMID:8329439"	
R4136	Mitochondrial Carrier (MC) TCDB:2.A.29.2.2	0	"PMID:10585886,PMID:14598172,PMID:17173541,PMID:18406340,PMID:4424886,PMID:4441366,PMID:5099217,PMID:8329439"	
R4137	Mitochondrial Carrier (MC) TCDB:2.A.29.2.2	0	"PMID:10585886,PMID:14598172,PMID:17173541,PMID:18406340,PMID:4424886,PMID:4441366,PMID:5099217,PMID:8329439"	
R4140	Mitochondrial Carrier (MC) TCDB:2.A.29.2.2	0	"PMID:10585886,PMID:14598172,PMID:4424886,PMID:4441366,PMID:5099217,PMID:8329439"	
R4141	Mitochondrial Carrier (MC) TCDB:2.A.29.2.2	0	"PMID:10585886,PMID:14598172,PMID:4424886,PMID:4441366,PMID:5099217,PMID:8329439"	
R4142	Mitochondrial Carrier (MC) TCDB:2.A.29.2.2	0	"PMID:10585886,PMID:14598172,PMID:4424886,PMID:4441366,PMID:5099217,PMID:8329439"	
R4143	Mitochondrial Carrier (MC) TCDB:2.A.29.2.2	0	"PMID:10585886,PMID:14598172,PMID:4424886,PMID:4441366,PMID:5099217,PMID:8329439"	
R4144	Mitochondrial Carrier (MC) TCDB:2.A.29.2.2	0	"PMID:10585886,PMID:14598172,PMID:4424886,PMID:4441366,PMID:5099217,PMID:8329439"	
R4158	Mitochondrial Carrier (MC) TCDB:2.A.29.2.7	0	"PMID:15845418,PMID:16600197,PMID:9639574"	
R4170	ATP-binding Cassette (ABC) TCDB:3.A.1.204.5	0	PMID:15209530	
R4187	Resistance-Nodulation-Cell Division (RND) TCDB:2.A.65.1.1	0	"PMID:11023036,PMID:1554704,PMID:18021224,PMID:4553030,PMID:8725559"	
R4188	Resistance-Nodulation-Cell Division (RND) TCDB:2.A.65.1.1	0	"PMID:11023036,PMID:1554704,PMID:18021224,PMID:4553030,PMID:8725559"	
R4190	Facilitated diffusion	0	"PMID:14739191,PMID:14977409,PMID:14998787,PMID:16109384,PMID:16171773,PMID:16750224"	
R4269	albumin  Protein assembly	0	"PMID:10049700,PMID:10574970,PMID:11389679,PMID:11557028,PMID:11564694,PMID:12824232,PMID:12930836,PMID:14574404,PMID:16288981,PMID:911815"	
R4271	"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1  Protein assembly"	0	"PMID:10049700,PMID:10574970,PMID:11389679,PMID:11557028,PMID:11564694,PMID:12824232,PMID:12930836,PMID:14574404,PMID:16288981,PMID:911815"	
R4272	apolipoprotein B  Protein assembly	0	"PMID:10049700,PMID:10574970,PMID:11389679,PMID:11557028,PMID:11564694,PMID:12824232,PMID:12930836,PMID:14574404,PMID:16288981,PMID:911815"	
R4275	Apo-CIB Protein assembly	0	"PMID:10049700,PMID:10574970,PMID:11389679,PMID:11557028,PMID:11564694,PMID:12824232,PMID:12930836,PMID:14574404,PMID:16288981,PMID:911815"	
R4276	Apo-CII Protein assembly	0	"PMID:10049700,PMID:10574970,PMID:11389679,PMID:11557028,PMID:11564694,PMID:12824232,PMID:12930836,PMID:14574404,PMID:16288981,PMID:911815"	
R4277	Apo-CIII Protein assembly	0	"PMID:10049700,PMID:10574970,PMID:11389679,PMID:11557028,PMID:11564694,PMID:12824232,PMID:12930836,PMID:14574404,PMID:16288981,PMID:911815"	
R4278	Fibrinogen alpha chain Protein assembly	0	"PMID:10049700,PMID:10574970,PMID:11389679,PMID:11557028,PMID:11564694,PMID:12824232,PMID:12930836,PMID:14574404,PMID:16288981,PMID:911815"	
R4280	Plasminogen Protein assembly	0	"PMID:10049700,PMID:10574970,PMID:11389679,PMID:11557028,PMID:11564694,PMID:12824232,PMID:12930836,PMID:14574404,PMID:16288981,PMID:911815"	
R4281	Prothrombin Protein assembly	0	"PMID:10049700,PMID:10574970,PMID:11389679,PMID:11557028,PMID:11564694,PMID:12824232,PMID:12930836,PMID:14574404,PMID:16288981,PMID:911815"	
R4282	T9 Protein assembly	0	"PMID:10049700,PMID:10574970,PMID:11389679,PMID:11557028,PMID:11564694,PMID:12824232,PMID:12930836,PMID:14574404,PMID:16288981,PMID:911815"	
R4285	Apo-E Protein assembly	0	PMID:11741334	
R4286	Apo-AI Protein assembly	0	PMID:11741334	
R4340	EC:6.2.1.3	0	PMID:8584017	
R4341	EC:6.2.1.3	0	PMID:8584017	
R4342	EC:6.2.1.3	0	PMID:8584017	
R4343	EC:6.2.1.3	0	PMID:8584017	
R4344	EC:6.2.1.3	0	PMID:8584017	
R4345	EC:6.2.1.3	0	PMID:8584017	
R4346	EC:6.2.1.3	0	PMID:8584017	
R4347	EC:6.2.1.3	0	PMID:8584017	
R4348	EC:6.2.1.3	0	PMID:8584017	
R4352	ADF Protein assembly	0	"PMID:14702039,PMID:15164053,PMID:16097034,PMID:1874447,PMID:1998498,PMID:2176490,PMID:2785919,PMID:3170595"	
R4361	fatty acid synthase  Polyunsaturated fatty acid biosynthesis EC:2.3.1.85	0	"PMID:11750882,PMID:4452359,PMID:6137188,PMID:7567999,PMID:7834997,PMID:8962082"	
R4362	fatty acid synthase  Polyunsaturated fatty acid biosynthesis EC:2.3.1.85	0	PMID:7567999	
R4363	fatty acid synthase  Polyunsaturated fatty acid biosynthesis EC:2.3.1.85	0	PMID:7567999	
R4442	2-Deoxyuridine 5-diphosphate:oxidized-thioredoxin 2-oxidoreductase Pyrimidine metabolism EC:1.17.4.1	0	"PMID:5553404,PMID:5671058"	
R4443	2-Deoxyuridine 5-diphosphate:oxidized-thioredoxin 2-oxidoreductase Pyrimidine metabolism EC:1.17.4.1	0	"PMID:5553404,PMID:5671058"	
R4451	EC:1.3.3.6	0	"PMID:17603022,PMID:6240978,PMID:7876265"	
R4452	EC:1.3.3.6	0	"PMID:17603022,PMID:6240978,PMID:7876265"	
R4453	EC:1.3.3.6	0	"PMID:17603022,PMID:6240978,PMID:7876265"	
R4454	EC:1.3.3.6	0	"PMID:17603022,PMID:1774065,PMID:3597357,PMID:6240978,PMID:7876265"	
R4455	EC:1.3.3.6	0	"PMID:17603022,PMID:1774065,PMID:3597357,PMID:6240978,PMID:7876265"	
R4456	EC:1.3.3.6	0	"PMID:17603022,PMID:1774065,PMID:3597357,PMID:6240978,PMID:7876265"	
R4457	EC:1.3.3.6	0	"PMID:17603022,PMID:1774065,PMID:3597357,PMID:6240978,PMID:7876265"	
R4458	EC:1.3.3.6	0	"PMID:17603022,PMID:1774065,PMID:3597357,PMID:6240978,PMID:7876265"	
R4459	EC:1.3.3.6	0	"PMID:17603022,PMID:1774065,PMID:3597357,PMID:6240978,PMID:7876265"	
R4471	EC:4.2.1.17	0		
R4472	EC:1.1.1.35	0		
R4475	EC:6.2.1.3	0	PMID:8584017	
R4488	ATP-binding Cassette (ABC) TCDB:3.A.1.211.1	0	PMID:16858612	
R4489	ATP-binding Cassette (ABC) TCDB:3.A.1.211.1	0	PMID:16858612	
R4490	ATP-binding Cassette (ABC) TCDB:3.A.1.211.1	0	PMID:16858612	
R4491	ATP-binding Cassette (ABC) TCDB:3.A.1.211.1	0	PMID:16858612	
R4492	ATP-binding Cassette (ABC) TCDB:3.A.1.211.1	0	PMID:16858612	
R4493	ATP-binding Cassette (ABC) TCDB:3.A.1.211.1	0	PMID:16858612	
R4494	ATP-binding Cassette (ABC) TCDB:3.A.1.211.1	0	PMID:16858612	
R4495	ATP-binding Cassette (ABC) TCDB:3.A.1.211.1	0	PMID:16858612	
R4496	ATP-binding Cassette (ABC) TCDB:3.A.1.211.1	0	PMID:16858612	
R4497	ATP-binding Cassette (ABC) TCDB:3.A.1.211.1	0	PMID:16858612	
R4498	ATP-binding Cassette (ABC) TCDB:3.A.1.211.1	0	PMID:16858612	
R4499	ATP-binding Cassette (ABC) TCDB:3.A.1.211.1	0	PMID:16858612	
R4500	ATP-binding Cassette (ABC) TCDB:3.A.1.211.1	0	PMID:16858612	
R4502	ATP-binding Cassette (ABC) TCDB:3.A.1.211.1	0	PMID:16858612	
R4996	"Zinc (Zn2+)-Iron (Fe2+) Permease (ZIP), TCDB:2.A.55.2.3"	0	PMID:14530970	
R5320	Mitochondrial Carrier (MC) TCDB:2.A.29.2.7	0	"PMID:10585886,PMID:14598172,PMID:4424886,PMID:4441366,PMID:5099217,PMID:8329439"	
R5321	Mitochondrial Carrier (MC) TCDB:2.A.29.2.7	0	"PMID:10585886,PMID:14598172,PMID:4424886,PMID:4441366,PMID:5099217,PMID:8329439"	
R5403	RE0512	0	PMID:7846063	
R5404	RE0512	0	PMID:7846063	
R5428	RE0580	0	PMID:10479480	
R5434	RE0583	0	PMID:10479480	
R5445	RE0702	0	"PMID:11013238,PMID:9665099"	
R5447	RE0702	0	"PMID:11013238,PMID:9665099"	
R5560	RE1514	0	"PMID:10479480,PMID:10675551,PMID:11707336,PMID:9784915"	
R5561	RE1516	0	"PMID:10407780,PMID:11356167,PMID:8973539"	
R5562	RE1516	0	"PMID:10407780,PMID:11356167,PMID:8973539"	
R5563	RE1517	0	"PMID:10407780,PMID:11356167,PMID:8973539"	
R5564	RE1517	0	"PMID:10407780,PMID:11356167,PMID:8973539"	
R5565	RE1518	0	"PMID:10407780,PMID:11356167,PMID:8973539"	
R5566	RE1518	0	"PMID:10407780,PMID:11356167,PMID:8973539"	
R5567	RE1519	0	"PMID:10407780,PMID:11356167,PMID:8973539"	
R5568	RE1519	0	"PMID:10407780,PMID:11356167,PMID:8973539"	
R5569	RE1520	0	"PMID:10407780,PMID:7923814,PMID:9568246,PMID:9920399"	
R5570	RE1520	0	"PMID:10407780,PMID:7923814,PMID:9568246,PMID:9920399"	
R5571	RE1521	0	"PMID:10407780,PMID:7923814,PMID:9568246,PMID:9920399"	
R5572	RE1521	0	"PMID:10407780,PMID:7923814,PMID:9568246,PMID:9920399"	
R5573	RE1522	0	"PMID:10407780,PMID:7775433,PMID:7923814,PMID:9568246,PMID:9920399"	
R5574	RE1522	0	"PMID:10407780,PMID:7775433,PMID:7923814,PMID:9568246,PMID:9920399"	
R5575	RE1523	0	"PMID:10407780,PMID:7923814,PMID:9568246,PMID:9920399"	
R5576	RE1523	0	"PMID:10407780,PMID:7923814,PMID:9568246,PMID:9920399"	
R5578	RE1525	0	"PMID:10407780,PMID:7775433"	
R5579	RE1525	0	"PMID:10407780,PMID:7775433"	
R5581	RE1526	0	PMID:11451959	
R5582	RE1526	0	PMID:11451959	
R5584	RE1527	0	PMID:11451959	
R5585	RE1527	0	PMID:0	
R5602	RE1573	0	PMID:10407780	
R5603	RE1573	0	PMID:10407780	
R5753	RE2050	0	PMID:12244105	
R5767	RE2112	0	"PMID:11344576,PMID:12393855"	
R5883	RE2513	0	PMID:10753880	
R5885	RE2513	0	PMID:10753880	
R5887	RE2514	0	PMID:9450756	
R5889	RE2514	0	PMID:9450756	
R6005	RE2888	0	PMID:10600166	
R6012	RE2908	0	"PMID:11427448,PMID:7923814,PMID:8319713,PMID:9920399"	
R6013	RE2908	0	"PMID:11427448,PMID:7923814,PMID:8319713,PMID:9920399"	
R6015	RE2909	0	"PMID:11427448,PMID:7923814,PMID:8319713,PMID:9920399"	
R6016	RE2909	0	"PMID:11427448,PMID:7923814,PMID:8319713,PMID:9920399"	
R6018	RE2910	0	PMID:11427448	
R6019	RE2910	0	PMID:11427448	
R6022	RE2912	0	"PMID:10479480,PMID:9784915"	
R6023	RE2913	0	"PMID:1047780,PMID:11135616,PMID:8973539"	
R6024	RE2913	0	"PMID:1047780,PMID:11135616,PMID:8973539"	
R6025	RE2914	0	"PMID:1047780,PMID:11135616,PMID:8973539"	
R6026	RE2914	0	"PMID:1047780,PMID:11135616,PMID:8973539"	
R6027	RE2915	0	"PMID:1047780,PMID:11135616,PMID:8973539"	
R6028	RE2915	0	"PMID:1047780,PMID:11135616,PMID:8973539"	
R6033	RE2919	0	"PMID:10407780,PMID:7923814,PMID:9568246,PMID:9920399"	
R6034	RE2919	0	"PMID:10407780,PMID:7923814,PMID:9568246,PMID:9920399"	
R6035	RE2920	0	"PMID:10407780,PMID:7923814,PMID:9568246,PMID:9920399"	
R6036	RE2920	0	"PMID:10407780,PMID:7923814,PMID:9568246,PMID:9920399"	
R6037	RE2921	0	"PMID:10407780,PMID:7923814,PMID:9568246,PMID:9920399"	
R6038	RE2921	0	"PMID:10407780,PMID:7923814,PMID:9568246,PMID:9920399"	
R6040	RE2954	0	"PMID:10585400,PMID:8967971"	
R6042	RE2972	0	"PMID:10358929,PMID:11493657,PMID:7961848,PMID:9211928"	
R6043	RE2972	0	"PMID:10358929,PMID:11493657,PMID:7961848,PMID:9211928"	
R6044	RE2972	0	"PMID:10358929,PMID:11493657,PMID:9043658,PMID:9211928"	
R6045	RE2973	0	"PMID:10358929,PMID:11493657,PMID:9043658,PMID:9211928"	
R6046	RE2973	0	"PMID:10358929,PMID:11493657,PMID:9043658,PMID:9211928"	
R6047	RE2973	0	"PMID:10358929,PMID:11493657,PMID:9043658,PMID:9211928"	
R6048	RE2973	0	"PMID:10358929,PMID:11493657,PMID:9043658,PMID:9211928"	
R6056	RE2985	0	"PMID:10407780,PMID:7775433"	
R6057	RE2985	0	"PMID:10407780,PMID:7775433"	
R6058	RE2986	0	"PMID:10407780,PMID:10970790,PMID:7775433"	
R6059	RE2987	0	"PMID:10407780,PMID:10970790,PMID:7775433"	
R6062	RE2990	0	"PMID:10407780,PMID:7775433"	
R6063	RE2991	0	"PMID:10407780,PMID:7775433"	
R6064	RE2992	0	"PMID:10407780,PMID:7775433"	
R6065	RE2992	0	"PMID:10407780,PMID:7775433"	
R6067	RE2994	0	"PMID:10407780,PMID:7775433"	
R6068	RE2995	0	"PMID:10407780,PMID:7775433"	
R6069	RE2995	0	"PMID:10407780,PMID:7775433"	
R6071	RE2997	0	"PMID:10407780,PMID:7775433"	
R6072	RE2998	0	"PMID:10407780,PMID:7775433"	
R6073	RE2999	0	"PMID:10407780,PMID:7775433"	
R6076	RE3002	0	"PMID:10407780,PMID:7775433"	
R6077	RE3003	0	"PMID:10407780,PMID:7775433"	
R6078	RE3004	0	"PMID:10407780,PMID:7775433"	
R6079	RE3005	0	"PMID:10407780,PMID:7775433"	
R6132	RE3074	0	"PMID:11060359,PMID:11356164"	IT - fixed proton
R6134	RE3075	0	PMID:11356164	IT - fixed proton
R6137	RE3079	0	PMID:11356164	IT - fixed proton
R6138	RE3081	0	PMID:11060359	
R6139	RE3082	0	PMID:11060359	
R6141	RE3084	0	"PMID:11356164,PMID:9271077"	
R6142	RE3086	0	"PMID:11356164,PMID:9271077"	
R6143	RE3087	0	PMID:11060359	
R6144	RE3088	0	PMID:11060359	
R6145	RE3089	0	"PMID:11356164,PMID:9271077"	
R6147	RE3092	0	PMID:11060359	
R6148	RE3093	0	PMID:11060359	
R6149	RE3095	0	PMID:9164836	
R6150	RE3095	0	PMID:9164836	
R6169	RE3114	0	"PMID:10479480,PMID:9784915"	IT - fixed proton
R6188	RE3132	0	"PMID:10479480,PMID:9784915"	IT - fixed proton
R6193	RE3140	0	PMID:11734209	
R6194	RE3141	0	PMID:11734209	
R6197	RE3145	0	PMID:11734209	
R6199	RE3146	0	PMID:9784915	IT - fixed proton
R6216	RE3156	0	PMID:11734209	
R6217	RE3157	0	PMID:11734209	
R6219	RE3159	0	PMID:11734209	
R6221	RE3160	0	"PMID:10479480,PMID:9784915"	IT - fixed proton
R6254	RE3177	0	"PMID:10407780,PMID:9469587,PMID:9819701"	
R6255	RE3178	0	"PMID:10407780,PMID:9469587,PMID:9819701"	
R6256	RE3179	0	"PMID:10407780,PMID:9469587,PMID:9819701"	
R6265	RE3192	0	"PMID:10407780,PMID:9469587,PMID:9819701"	
R6266	RE3193	0	"PMID:10407780,PMID:9469587,PMID:9819701"	
R6267	RE3194	0	"PMID:10407780,PMID:9469587,PMID:9819701"	
R6316	RE3247	0	PMID:10709654	
R6317	RE3247	0	PMID:10709654	
R6318	RE3248	0	PMID:10709654	
R6319	RE3248	0	PMID:10709654	
R6321	RE3250	0	PMID:10709654	
R6322	RE3250	0	PMID:10709654	
R6349	RE3273	0	PMID:3135804	
R6350	RE3273	0	PMID:3135804	IT - changed to 1 h[c]
R6351	RE3273	0	PMID:3135804	
R6361	RE3301	0	PMID:11182251	
R6362	RE3301	0	PMID:11182251	
R6363	RE3301	0	PMID:11182251	
R6374	RE3334	0	PMID:7649996	
R6375	RE3334	0	PMID:7649996	
R6378	RE3335	0	PMID:9784915	IT - fixed proton
R6379	RE3335	0	PMID:9784915	IT - fixed proton
R6382	RE3337	0	PMID:7649996	
R6383	RE3337	0	PMID:7649996	
R6385	RE3338	0	PMID:7649996	
R6386	RE3338	0	PMID:7649996	
R6391	RE3340	0	PMID:7649996	
R6392	RE3340	0	PMID:7649996	
R6393	RE3341	0	PMID:7649996	
R6394	RE3341	0	PMID:7649996	
R6400	RE3344	0	PMID:7649996	
R6401	RE3344	0	PMID:7649996	
R6404	RE3345	0	PMID:9784915	IT - fixed proton
R6405	RE3345	0	PMID:9784915	IT - fixed proton
R6423	RE3385	0	PMID:11356170	
R6424	RE3386	0	PMID:11356170	
R6425	RE3387	0	PMID:11356170	
R6427	RE3389	0	PMID:11356170	
R6428	RE3390	0	PMID:11356170	
R6431	RE3393	0	PMID:11356170	
R6433	RE3395	0	PMID:11356170	
R6435	RE3397	0	PMID:11356170	
R6436	RE3398	0	PMID:11356170	
R6437	RE3399	0	PMID:11356170	
R6439	RE3401	0	PMID:11356170	
R6440	RE3402	0	PMID:11356170	
R6479	RE3445	0	"PMID:11368003,PMID:9862787"	
R6480	RE3445	0	"PMID:11368003,PMID:9862787"	
R6483	RE3446	0	PMID:9784915	IT - fixed proton
R6484	RE3446	0	PMID:9784915	IT - fixed proton
R6485	RE3447	0	"PMID:11368003,PMID:9862787"	
R6486	RE3447	0	"PMID:11368003,PMID:9862787"	
R6488	RE3448	0	"PMID:11368003,PMID:9862787"	
R6489	RE3448	0	"PMID:11368003,PMID:9862787"	
R6520	RE3488	0	PMID:11034610	
R6521	RE3488	0	PMID:11034610	
R6606	RE3561	0	PMID:12054595	
R6607	RE3561	0	PMID:12054595	
R6610	RE3562	0	PMID:9784915	IT - fixed proton
R6611	RE3562	0	PMID:9784915	IT - fixed proton
R6612	RE3563	0	PMID:12054595	
R6613	RE3563	0	PMID:12054595	
R6615	RE3564	0	PMID:12054595	
R6616	RE3564	0	PMID:12054595	
R6623	RE3571	0	"PMID:9115911,PMID:9732298"	
R6624	RE3572	0	PMID:12054595	
R6625	RE3573	0	PMID:12054595	
R6628	RE3576	0	PMID:12054595	
R6629	RE3577	0	PMID:9784915	IT - fixed proton
R6630	RE3578	0	PMID:12054595	
R6631	RE3580	0	PMID:12054595	
R6633	RE3582	0	PMID:12054595	
R6634	RE3583	0	PMID:12054595	
R6644	RE3624	0	"PMID:11356164,PMID:7775433"	
R6645	RE3624	0	"PMID:11356164,PMID:7775433"	
R6646	RE3626	0	"PMID:11356164,PMID:7775433"	
R6648	RE3627	0	"PMID:11356164,PMID:7775433"	
R6649	RE3627	0	"PMID:11356164,PMID:7775433"	
R6650	RE3628	0	"PMID:11356164,PMID:7775433"	
R6807	production of decanoylcarnitine	4	"PMID: 18767270, PMID: 18075239"	
R6809	production of decenoylcarnitine	4	PMID: 7551818 	
R6811	production of decadienoylcarnitine	4	PMID: 19578400	
R6814	production of sebacoylcarnitine	4	"PMID: 20173117, doi:10.1016/j.physletb.2003.10.071"	
R6816	production of 3-OHdecanoylcarnitinec	4	"clinical chemistry 46:2, 149-155(2000), Biochemistry 2005,  44, 5234-5245"	
R6817	production of dodecanoylcarnitine	4	"PMID: 12828998 , PMID: 9498103, PMID: 3955080"	
R6818	production of dodecenoylcarnitine	4	PMID: 18678604	
R6823	production of 3-OHdodecanoylcarnitinec	4	"clinical chemistry 46:2, 149-155(2000), Biochemistry 2005,  44, 5234-5245"	
R6824	production of myristoylcarnitine	4	"PMID: 19137688, PMID: 15653102, PMID: 12403251 "	
R6826	production of tetradecenoylcarnitine	4	"PMID: 19327992 , PMID: 18670371, PMID: 15466478, PMID: 11433098"	
R6827	production of 3-hydroxytetradecenoyl carnitine	2	PMID: 21281499	
R6830	production of tetradecadienoylcarnitine	4	PMID: 11433098	
R6831	production of 3-hydroxytetradeca dienoyl carnitine	2	PMID: 21281499	
R6833	production of 3-hydroxytetradecanoylcarnitine	4	"molecular genetics and metabolism,Volume 85, Issue 2, June 2005, Pages 108-114 "	"molecular genetics and metabolism,Volume 85, Issue 2, June 2005, Pages 108-114 "
R6834	production of 3-hydroxyhexadecenoylcarnitine	4	"Biochemistry 2005, 44, 5234-5245"	
R6836	production of 3-hydroxy hexadecadienoyl carnitine	2	PMID: 21281499	
R6838	production of hexadecanedioylcarnitine	4	"journal of lipid research vol 15(1974), PMID: 20173117"	
R6840	production of 3-hydroxyhexadecanoylcarnitinec	4	"Biochemistry 2005, 44, 5234-5245"	
R6842	production of 3-hydroxyoctadecenoylcarnitinec	4	"Biochemistry 2005, 44, 5234-5245"	
R6843	production of 3-hydroxyoctadecadienoylcarnitine	4	"Biochemistry 2005, 44, 5234-5245"	
R6844	production of 3-hydroxyoctadecanoylcarnitine	4	PMID: 7977144	
R6846	production of propionylcarnitine	4	"PMID: 20056909, PMCID: PMC2914534"	
R6848	production of butyrylcarnitine	4	"PMID: 20591710, PMID: 18175080"	
R6853	production of 3-hydroxybytyryl carnitinec	4	PMID: 17442642	
R6857	production of isovalerylcarnitine	4	"PMID: 20807522, PMID: 20591710"	
